Kód obce;Jméno obce;Voliči v seznamu;Vydané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
https:;Zelená Hora;227;162;162;54;0;0;0;0;17;9;0;0;8;0;4;0;0;0;0;6;1;1;3;15;2;17;22;0;3
https:;Křižanovice;647;409;407;114;0;0;0;3;55;39;0;1;37;0;3;0;0;1;0;20;0;7;4;49;10;29;35;0;0
https:;Vyškov;17 082;10 097;10 033;2 665;5;3;11;13;1 147;690;8;13;923;73;80;2;3;18;17;254;108;204;152;1 104;257;993;1 280;1;9
https:;Kozlany;290;157;157;40;0;0;0;0;19;14;0;1;6;1;0;0;1;2;0;6;1;1;1;30;0;11;23;0;0
https:;Hvězdlice;475;260;260;69;0;0;0;0;46;15;0;0;14;1;0;0;0;0;1;5;2;1;2;41;1;16;46;0;0
https:;Podbřežice;194;106;106;23;0;0;0;6;14;13;0;0;6;0;0;0;0;0;0;4;0;0;0;23;2;7;8;0;0
https:;Nemochovice;228;156;152;37;0;0;0;0;52;3;0;0;10;0;0;0;0;0;0;3;1;1;0;15;0;2;28;0;0
https:;Malínky;124;87;86;12;1;0;0;1;23;11;2;0;5;0;3;0;0;0;0;4;0;2;0;6;0;7;9;0;0
https:;Bohaté Málkovice;200;111;111;48;0;0;1;0;9;16;0;0;4;0;1;0;0;0;0;2;2;0;0;10;1;3;14;0;0
https:;Křenovice;1 543;1 032;1 029;254;2;0;0;1;78;108;0;6;133;11;7;0;1;1;3;31;2;15;16;105;54;92;106;0;3
https:;Bohdalice-Pavlovice;687;426;422;112;1;0;0;1;42;54;0;1;25;3;0;0;4;0;1;19;0;6;3;87;6;21;36;0;0
https:;Němčany;627;425;425;103;0;2;0;1;36;80;0;1;38;1;2;0;0;3;2;12;2;6;3;36;14;45;38;0;0
https:;Dražovice;735;461;459;115;0;1;0;0;40;84;0;0;61;1;4;1;0;5;0;8;2;5;2;42;8;30;49;0;1
https:;Bošovice;942;551;548;166;1;0;3;0;46;73;0;1;41;4;15;1;0;0;2;24;0;12;5;68;8;42;34;0;2
https:;Velešovice;967;633;628;136;0;0;1;6;71;86;0;2;44;2;5;2;0;3;2;23;0;12;6;79;22;53;71;0;2
https:;Mouřínov;375;216;216;68;0;0;0;1;27;14;0;1;13;0;2;0;0;0;1;8;0;1;1;56;0;6;17;0;0
